claim_id,claim,evidence_class,primary_source,contrast_or_analysis,key_support,uncertainty_or_test,scope,status
C01,Equal MAE/RMSE does not imply equal autoscaling consequence,controlled causal,Step 18 paired-comparisons.csv,"direction; duration; event presence; narrow-spike timing","large decision harm and cost differences while MAE/RMSE differences equal zero","8 matched pairs per contrast; exact paired tests and bootstrap intervals","tested controller workloads and cluster",supported
C02,Error direction matters when it changes a discrete replica boundary,controlled causal,Step 18 pair-01 plus frozen policy,persistent positive minus negative bias,"-211 deficient replica-seconds and -12.86 ms P99","P99 CI [-14.75,-10.79]; raw p 0.0078125","sustained peak baseline capacity boundary",supported_with_capacity_qualification
C03,Missed demand causes reliability harm while false demand primarily causes cost,controlled causal plus robustness,Step 18 pair-03 and Step 19 offline sensitivity,missed minus false peak,"+180 deficient; +4805.43 ms P99; +49.25 SLO s; -120 excess","all 8 pairs; raw p 0.0078125; direction stable across SLO/capacity checks","tested narrow spike and four-replica system",robustly_supported
C04,Premature versus delayed peak termination exchanges deficiency for excess occupancy,controlled causal,Step 18 pair-02,shortened minus extended,"+90 deficient; -90 excess; +1543.79 ms P99","all 8 pairs for deficiency P99 and cost; composite SLO heterogeneous","tested sustained peak; transition MAE not matched",supported_with_slo_qualification
C05,Timing harm depends on workload shape and readiness-relative lead time,controlled interaction plus prospective robustness,Step 18 timing interaction and Step 19 horizon campaign,"late-early spike minus periodic","P99 interaction +2562.12 ms; 9 s horizon reduced late SLO by 16.2 s","interaction Holm p 0.0234375; horizon n=5 exact p floor 0.0625","periodic triangle and narrow spike",robustly_supported
C06,Aggregate desired-replica error can conceal readiness-timing harm,controlled causal,Step 18 pair-07,late minus early narrow spike,"decision deficiency and excess summaries tied while P99 differed +2565.51 ms","P99 CI [2233.30,2954.57]; all 8 pairs","tested narrow spike",supported
C07,Transition MAE adds event-local information but is not a universal operational metric,controlled mixed findings,Step 18 pairs 02 03 04 07,transition MAE comparisons,"detects duration omission placement and late spike; placement caused cost without harm","pair-specific controlled results","tested transition definition and workloads",supported_with_boundary
C08,Shape differences that do not change controller decisions need not change outcomes,controlled null,Step 18 pair-05,smoothed minus sharpened,"zero decision deficiency and excess differences; P99 -0.42 ms","P99 CI [-2.05,0.81]; SLO CI [-2.5,3.75]","tested periodic triangle mutation",supported_null
C09,Reactive safety reduces and converts underprediction harm rather than eliminating it,controlled safety ablation,Step 18 safety contrasts and Step 16 report,"missed peak and persistent negative bias","missed SLO -75%; bias deficiency -96.7%; added capacity; residual harm","5 pairs; minimum exact p 0.0625; one bias SLO run worsened","two tested underprediction errors",supported_with_power_qualification
C10,Safety protection and cost depend on error structure and trigger persistence,controlled interaction plus prospective robustness,Step 18 safety interaction and Step 19 persistence campaign,"missed versus bias; 1 s versus 3 s trigger","missed SLO benefit 35.8 s larger; slower trigger +2.8 SLO s and +61 RPS-s deficit","5 pairs; exact-test resolution limited","fixed overload safety rule",supported_with_power_qualification
C11,Forecast decision reliability and cost rankings answer different questions,supplementary association plus controlled contrasts,Step 18 ranking-agreement.csv and controlled pairs,14-condition ranking analysis,"RMSE-SLO rho -0.573 with 72.9% disagreement; MAE-decision rho 0.786","14 condition medians with ties; non-causal","tested condition set only",supported_as_supplementary

